building_age,BuildingType,floor_surface,has_third_use,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,ratio_build,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),sum_energy_use,sum_types_use,ThirdLargestPropertyUseTypeGFA,total_ty_gfa,use_steam
96,NonResidential,28714.0,0,DOWNTOWN,1.0,2,Other,1.0,5681.0,1247362.0,2,2,0.0,57428.0,0
106,NonResidential,7425.0,0,DOWNTOWN,1.0,8,Small- and Mid-Sized Office,1.0,4993.0,5071974.0,1,2,0.0,39940.0,0
90,NonResidential,26274.5,1,DOWNTOWN,1.0,2,Mixed Use Property,1.0,23500.0,15026196.0,2,3,5459.0,52459.0,0
86,NonResidential,4931.7,1,DOWNTOWN,1.0,20,Hotel,0.8981791268730863,10043.0,4841347.5,2,3,5000.0,98634.0,0
34,NonResidential,29241.529411764706,1,DOWNTOWN,1.0,34,Hotel,0.8524519921304511,117668.0,80469216.0,3,3,0.0,1111880.0,1
31,NonResidential,10164.285714285714,1,DOWNTOWN,1.0,7,Hotel,1.0,13730.0,5348309.0,2,3,9604.0,64674.0,0
108,NonResidential,17544.285714285714,1,DOWNTOWN,1.0,7,Hotel,1.0,26450.0,5401277.5,2,3,8000.0,122810.0,0
57,NonResidential,22634.6,0,LAKE UNION,1.0,5,Hotel,0.6240622763379958,42546.0,5284343.5,2,2,0.0,113173.0,0
16,NonResidential,21493.285714285714,0,LAKE UNION,1.0,7,Hotel,0.7691305590450174,3000.0,6715187.0,2,2,0.0,110547.0,0
19,NonResidential,19383.333333333332,0,LAKE UNION,1.0,6,Hotel,0.7575236457437661,28300.0,5827595.5,2,2,0.0,116790.0,0
18,NonResidential,25933.666666666668,0,MAGNOLIA / QUEEN ANNE,1.0,6,Hotel,0.7638590763614863,0.0,6836900.0,2,1,0.0,155602.0,0
105,NonResidential,18690.666666666668,0,EAST,1.0,3,K-12 School,1.0,0.0,3234787.75,2,1,0.0,56072.0,0
17,NonResidential,30735.5,0,MAGNOLIA / QUEEN ANNE,1.0,4,Hotel,0.6348603406484359,44891.0,5337334.0,2,2,0.0,122942.0,0
54,NonResidential,27492.0,0,CENTRAL,1.0,2,Small- and Mid-Sized Office,1.0,0.0,3375211.0,2,1,0.0,54984.0,0
94,NonResidential,43520.6,0,SOUTHWEST,1.0,5,Senior Care Community,1.0,0.0,42792072.0,2,2,0.0,296313.0,0
46,NonResidential,46698.5,0,NORTHWEST,1.0,2,Senior Care Community,1.0,0.0,16402563.0,2,1,0.0,93397.0,0
8,NonResidential,14017.166666666666,0,LAKE UNION,1.0,6,Hotel,0.7534927410437202,20732.0,3706100.25,2,2,0.0,84103.0,0
68,SPS-District K-12,26676.0,0,SOUTHWEST,1.0,2,K-12 School,1.0,0.0,0.0,1,1,0.0,65568.0,0
51,NonResidential,59671.333333333336,0,EAST,0.0,3,Medical Office,1.0,0.0,16701055.0,2,1,0.0,179014.0,0
108,NonResidential,10947.285714285714,0,EAST,1.0,7,Hotel,1.0,0.0,7258758.5,2,1,0.0,76631.0,0
33,NonResidential,16630.0,1,EAST,1.0,6,Mixed Use Property,0.9063840448987773,20868.0,15473117.0,2,3,17020.0,78062.0,1
87,NonResidential,29160.0,0,LAKE UNION,1.0,2,Retail Store,1.0,0.0,1049748.625,2,1,0.0,72072.0,0
6,NonResidential,63261.2,1,LAKE UNION,1.0,5,Large Office,1.0,150726.0,13795954.0,2,3,15139.0,427691.0,0
26,NonResidential,40409.0,0,LAKE UNION,1.0,7,Hotel,0.8417396407448129,51537.0,19459304.0,2,2,0.0,287325.0,0
54,Nonresidential COS,389000.0,0,MAGNOLIA / QUEEN ANNE,1.0,1,Other,1.0,0.0,23658978.0,3,1,0.0,368000.0,1
54,Nonresidential COS,91213.0,0,MAGNOLIA / QUEEN ANNE,1.0,1,Other,1.0,0.0,8141155.5,2,1,0.0,65000.0,1
78,Nonresidential COS,79217.0,0,MAGNOLIA / QUEEN ANNE,1.0,5,Other,1.0,0.0,20955026.0,2,1,0.0,278500.0,1
6,NonResidential,47610.75,1,LAKE UNION,1.0,12,Large Office,1.0,310699.0,39605888.0,2,3,26203.0,935703.0,0
54,Nonresidential COS,26000.0,0,MAGNOLIA / QUEEN ANNE,1.0,2,Other,1.0,0.0,2726369.0,2,1,0.0,52000.0,1
88,Nonresidential COS,60696.0,0,MAGNOLIA / QUEEN ANNE,1.0,1,Other,1.0,0.0,875943.3125,1,1,0.0,108000.0,0
88,Nonresidential COS,131024.0,0,MAGNOLIA / QUEEN ANNE,1.0,2,Other,1.0,0.0,20723248.0,2,1,0.0,296000.0,1
30,NonResidential,33120.0,1,MAGNOLIA / QUEEN ANNE,0.0,2,Small- and Mid-Sized Office,0.9644927536231884,5181.0,4166306.25,1,3,4551.0,55632.0,0
6,NonResidential,153433.0,1,MAGNOLIA / QUEEN ANNE,1.0,6,Large Office,0.6700981318664607,185014.0,36667044.0,2,3,6000.0,920598.0,0
46,NonResidential,19053.25,1,MAGNOLIA / QUEEN ANNE,1.0,4,Small- and Mid-Sized Office,0.6597693306916143,21454.0,3476212.5,2,3,2406.0,72406.0,0
14,NonResidential,16151.666666666666,0,MAGNOLIA / QUEEN ANNE,1.0,6,Hotel,0.6188835001547828,36934.0,5155568.5,2,2,0.0,96910.0,0
54,NonResidential,12504.25,0,NORTHEAST,2.0,4,Hotel,1.0,0.0,5448975.0,2,2,0.0,50017.0,0
17,SPS-District K-12,24822.666666666668,0,DELRIDGE,1.0,3,K-12 School,1.0,0.0,0.0,1,1,0.0,75364.0,0
93,NonResidential,22581.0,0,EAST,1.0,3,K-12 School,1.0,0.0,2646879.0,2,1,0.0,67743.0,0
108,NonResidential,32350.666666666668,0,EAST,1.0,6,K-12 School,1.0,0.0,6219841.5,2,1,0.0,194104.0,0
13,NonResidential,33144.333333333336,0,SOUTHEAST,1.0,3,Small- and Mid-Sized Office,0.6404413021833798,35752.0,4897760.0,1,2,0.0,99433.0,0
25,SPS-District K-12,29466.5,0,SOUTHEAST,1.0,2,K-12 School,1.0,0.0,0.0,1,1,0.0,60725.0,0
59,SPS-District K-12,130862.0,0,GREATER DUWAMISH,1.0,1,K-12 School,1.0,0.0,6456026.0,2,1,0.0,134446.0,0
27,SPS-District K-12,19985.0,0,SOUTHEAST,1.0,3,K-12 School,1.0,0.0,1633399.375,2,1,0.0,59955.0,0
52,SPS-District K-12,46609.0,0,MAGNOLIA / QUEEN ANNE,1.0,2,K-12 School,1.0,0.0,2887392.0,2,1,0.0,93218.0,0
75,NonResidential,14130.25,0,NORTHEAST,1.0,4,Other,1.0,0.0,6357632.0,1,1,0.0,49000.0,0
87,NonResidential,103467.0,0,NORTHEAST,1.0,2,Other,1.0,0.0,4253577.5,2,2,0.0,119146.0,0
15,NonResidential,12847.5,0,NORTHWEST,1.0,4,Hotel,1.0,0.0,3611538.0,2,2,0.0,51390.0,0
53,SPS-District K-12,65506.5,0,NORTHWEST,1.0,2,K-12 School,1.0,0.0,3894584.5,2,1,0.0,131909.0,0
57,SPS-District K-12,245587.0,0,NORTHWEST,1.0,1,K-12 School,1.0,0.0,11765682.0,2,1,0.0,245587.0,0
14,NonResidential,23046.0,0,NORTHWEST,1.0,3,Hotel,1.0,0.0,3242458.0,2,1,0.0,70609.0,0
25,SPS-District K-12,22196.0,0,LAKE UNION,1.0,3,K-12 School,1.0,0.0,0.0,1,1,0.0,66588.0,0
112,NonResidential,38196.0,0,DOWNTOWN,1.0,5,Hotel,1.0,19051.0,6505995.0,2,2,0.0,210031.0,0
18,Nonresidential COS,47350.0,0,DOWNTOWN,1.0,6,Other,1.0,0.0,14641502.0,3,1,0.0,189750.0,1
62,NonResidential,57066.6,0,BALLARD,4.0,5,Hospital,1.0,148865.0,68090728.0,2,2,0.0,451526.0,0
25,SPS-District K-12,27756.5,0,Ballard,1.0,2,K-12 School,1.0,0.0,1513570.75,1,1,0.0,59097.0,0
10,Nonresidential COS,15289.0,0,DOWNTOWN,1.0,4,Other,1.0,29219.0,9363374.0,2,2,0.0,71974.0,0
106,NonResidential,18205.0,0,DOWNTOWN,1.0,4,Other,0.8102169733589674,0.0,2010454.625,2,1,0.0,58000.0,0
20,NonResidential,40555.5,0,MAGNOLIA / QUEEN ANNE,1.0,4,Hotel,0.9124656335145664,32692.0,7946961.0,2,2,0.0,146394.0,0
26,SPS-District K-12,72397.0,0,SOUTHEAST,1.0,4,K-12 School,1.0,0.0,8819852.0,2,1,0.0,289588.0,0
101,NonResidential,21110.0,0,EAST,1.0,3,University,1.0,0.0,3059758.0,2,1,0.0,64820.0,0
46,Campus,220535.5,0,DELRIDGE,27.0,2,University,1.0,0.0,38301744.0,2,1,0.0,483000.0,0
14,NonResidential,48150.0,0,NORTHEAST,1.0,2,Small- and Mid-Sized Office,1.0,4944.0,16319835.0,2,2,0.0,97244.0,0
66,Nonresidential COS,67356.0,0,GREATER DUWAMISH,1.0,1,Other,1.0,0.0,7475577.5,2,1,0.0,68359.0,0
8,SPS-District K-12,84841.0,0,CENTRAL,1.0,3,K-12 School,1.0,0.0,13567774.0,2,1,0.0,254523.0,0
15,SPS-District K-12,26268.0,0,SOUTHEAST,1.0,3,K-12 School,1.0,0.0,2499140.0,2,1,0.0,78804.0,0
14,SPS-District K-12,22331.333333333332,0,CENTRAL,1.0,3,K-12 School,1.0,0.0,2371304.5,2,1,0.0,66994.0,0
16,SPS-District K-12,32785.666666666664,0,GREATER DUWAMISH,1.0,3,K-12 School,1.0,0.0,3456131.5,2,1,0.0,98357.0,0
58,NonResidential,54765.0,0,GREATER DUWAMISH,1.0,1,Small- and Mid-Sized Office,1.0,25000.0,4253369.5,2,2,0.0,50765.0,0
7,NonResidential,17964.2,1,GREATER DUWAMISH,1.0,5,Other,1.0,37938.0,1950092.5,2,3,4579.0,89000.0,0
36,NonResidential,26305.5,0,MAGNOLIA / QUEEN ANNE,1.0,2,University,1.0,0.0,4116871.5,2,1,0.0,52611.0,0
15,NonResidential,34900.0,0,MAGNOLIA / QUEEN ANNE,1.0,4,Residence Hall,0.7313753581661891,0.0,4448582.5,2,1,0.0,135520.0,0
5,SPS-District K-12,118379.0,0,NORTH,1.0,2,K-12 School,1.0,0.0,8355988.5,2,2,0.0,238550.0,0
45,NonResidential,41830.166666666664,0,CENTRAL,3.0,6,Other,1.0,78357.0,13071700.0,3,2,0.0,215922.0,1
14,SPS-District K-12,20842.0,0,NORTHWEST,1.0,3,K-12 School,1.0,0.0,1986094.875,2,1,0.0,62526.0,0
12,NonResidential,27188.18181818182,0,DOWNTOWN,1.0,11,Other,0.7711840037449427,0.0,65336980.0,2,1,0.0,250000.0,0
9,NonResidential,21338.333333333332,1,GREATER DUWAMISH,1.0,3,Small- and Mid-Sized Office,1.0,15000.0,3242077.75,2,3,9015.0,54015.0,0
65,NonResidential,530039.0,0,NORTH,1.0,1,Retail Store,1.0,24936.0,27717034.0,2,2,0.0,530039.0,0
52,NonResidential,18074.666666666668,0,NORTH,1.0,3,Other,1.0,0.0,7265178.0,2,1,0.0,47012.0,0
51,NonResidential,31085.5,0,NORTH,1.0,4,Retail Store,1.0,0.0,8765978.0,2,1,0.0,122000.0,0
63,NonResidential,87900.0,0,NORTHEAST,6.0,10,Hospital,1.0,0.0,253832464.0,2,1,0.0,879000.0,0
20,NonResidential,18480.666666666668,1,NORTHWEST,1.0,3,Other,1.0,15385.0,3191228.25,2,3,8644.0,52665.0,0
17,SPS-District K-12,121397.5,0,BALLARD,1.0,2,K-12 School,1.0,0.0,9157150.0,2,1,0.0,242795.0,0
106,NonResidential,16974.0,0,EAST,1.0,5,Self-Storage Facility,1.0,0.0,1381590.125,2,1,0.0,85521.0,0
46,Campus,347036.0,0,NORTHWEST,11.0,2,University,0.8391737456632741,0.0,35891484.0,2,1,0.0,667335.0,0
64,SPS-District K-12,86592.5,0,SOUTHEAST,1.0,2,K-12 School,1.0,0.0,6127771.5,2,1,0.0,173185.0,0
53,SPS-District K-12,145341.0,0,DELRIDGE,1.0,1,K-12 School,1.0,0.0,5499097.0,2,1,0.0,139069.0,0
112,NonResidential,28574.25,0,GREATER DUWAMISH,1.0,4,Warehouse,1.0,0.0,2100097.75,2,1,0.0,114297.0,0
56,SPS-District K-12,92062.5,0,SOUTHEAST,1.0,2,K-12 School,1.0,0.0,8800292.0,2,1,0.0,184125.0,0
57,SPS-District K-12,160270.0,0,BALLARD,1.0,1,K-12 School,1.0,0.0,0.0,1,1,0.0,160270.0,0
79,NonResidential,234144.0,0,GREATER DUWAMISH,1.0,1,Warehouse,1.0,0.0,6744317.0,2,1,0.0,234144.0,0
50,NonResidential,64984.0,0,DELRIDGE,1.0,1,Retail Store,1.0,0.0,2944296.25,2,1,0.0,65425.0,0
51,NonResidential,67745.0,0,DELRIDGE,1.0,1,Retail Store,1.0,0.0,9230223.0,2,1,0.0,67782.0,0
6,SPS-District K-12,183942.0,0,DELRIDGE,1.0,2,K-12 School,1.0,0.0,12265516.0,2,1,0.0,367884.0,0
58,SPS-District K-12,46797.0,0,DELRIDGE,1.0,1,K-12 School,1.0,0.0,2075891.0,2,1,0.0,46797.0,0
53,SPS-District K-12,45396.0,0,CENTRAL,1.0,3,K-12 School,1.0,0.0,0.0,1,1,0.0,136188.0,0
43,NonResidential,18666.666666666668,0,BALLARD,1.0,3,Other,1.0,0.0,1851260.5,2,1,0.0,56000.0,0
12,SPS-District K-12,33685.5,0,SOUTHEAST,1.0,2,K-12 School,1.0,0.0,2128459.0,2,1,0.0,67371.0,0
47,NonResidential,26044.0,0,SOUTHWEST,1.0,2,Self-Storage Facility,1.0,0.0,1377519.5,2,1,0.0,52088.0,0
6,SPS-District K-12,42592.0,0,LAKE UNION,1.0,3,K-12 School,1.0,0.0,4748137.0,2,1,0.0,127776.0,0
